inc.prob,exc.prob.low,exc.prob.high,trueNb
0.4,0.12,0.25,30

Low.mean,Low.error,High.mean,High.error,avg.low.exc.fam,low.fam.error,low.fam.n,avg.high.exc.fam,high.fam.error,high.fam.n,Success.rate
17.28,0.444048831867876,58.56,0.691589868006562,1.29405737704918,0.019790708342127,2928,1.48958333333333,0.0333517348240837,864,1

non.sib.error,half.sib.error,split.fam.error
0,0,0.577284784181336
non.sibs,half.sibs,full.sibs,singletons,split.families,total
0,0,1163,3031,2394,4147

Est.Low,Est.High,successes
22,52,1
18,56,1
18,54,1
18,64,1
20,62,1
16,58,1
16,60,1
20,60,1
16,58,1
14,56,1
22,58,1
18,62,1
16,58,1
22,56,1
18,62,1
18,58,1
16,58,1
14,56,1
18,66,1
16,58,1
16,56,1
22,54,1
16,60,1
20,66,1
16,60,1
16,56,1
16,58,1
20,66,1
16,52,1
16,58,1
18,58,1
16,58,1
16,58,1
16,58,1
16,56,1
20,64,1
16,56,1
18,60,1
20,66,1
22,62,1
16,56,1
16,54,1
22,52,1
16,66,1
20,60,1
18,56,1
16,58,1
16,58,1
16,56,1
16,54,1
16,56,1
18,56,1
14,56,1
22,60,1
20,60,1
18,60,1
18,48,1
18,62,1
16,58,1
18,60,1
16,60,1
16,58,1
14,60,1
16,60,1
20,66,1
22,58,1
16,60,1
22,58,1
16,62,1
14,60,1
16,56,1
16,56,1
16,56,1
18,62,1
16,60,1
18,56,1
20,60,1
16,58,1
16,58,1
14,58,1
14,58,1
16,56,1
16,60,1
16,58,1
16,54,1
16,56,1
22,54,1
16,56,1
16,58,1
16,56,1
18,58,1
14,60,1
14,58,1
20,66,1
16,58,1
18,66,1
14,54,1
18,62,1
20,66,1
16,60,1
