inc.prob,exc.prob.low,exc.prob.high,trueNb
0.4,0.12,0.25,29

Low.mean,Low.error,High.mean,High.error,avg.low.exc.fam,low.fam.error,low.fam.n,avg.high.exc.fam,high.fam.error,high.fam.n,Success.rate
11.68,0.471840947880869,39.24,1.104206171494,1.41997961264016,0.0310873206894939,1962,1.69691780821918,0.0643798623588117,584,0.96

non.sib.error,half.sib.error,split.fam.error
0.010896898575021,0.0125733445096396,0.779267951941883
non.sibs,half.sibs,full.sibs,singletons,split.families,total
39,45,825,3226,2789,3579

Est.Low,Est.High,successes
18,48,1
12,40,1
10,38,1
10,40,1
6,32,1
14,44,1
12,38,1
10,42,1
12,36,1
12,40,1
14,40,1
10,42,1
12,36,1
10,38,1
10,40,1
12,44,1
12,48,1
8,28,0
12,32,1
12,40,1
12,36,1
14,34,1
10,36,1
10,46,1
10,36,1
8,44,1
12,50,1
14,42,1
6,34,1
10,32,1
14,38,1
10,34,1
10,30,1
14,42,1
8,36,1
10,40,1
12,40,1
18,48,1
12,42,1
16,38,1
12,38,1
18,44,1
12,36,1
10,28,0
10,44,1
12,34,1
10,32,1
12,34,1
14,42,1
14,40,1
12,40,1
12,42,1
10,40,1
12,42,1
14,42,1
12,30,1
8,46,1
10,44,1
14,34,1
12,46,1
12,42,1
14,40,1
16,40,1
10,38,1
12,36,1
10,44,1
12,38,1
12,32,1
10,42,1
12,36,1
8,32,1
12,40,1
12,50,1
12,48,1
8,28,0
14,48,1
12,40,1
12,36,1
6,30,1
12,38,1
10,28,0
12,38,1
10,30,1
12,42,1
12,40,1
12,44,1
10,48,1
12,42,1
14,40,1
14,36,1
14,48,1
12,38,1
14,42,1
14,54,1
8,32,1
18,46,1
12,30,1
10,36,1
8,44,1
14,46,1
